Timestamp,State,Mode,Probability,Confidence,InputIdleTime
2026-02-12 22:42:48.928,Active,Interactive,0.992,0.95,0.17
2026-02-12 22:42:48.983,Active,Interactive,0.991,0.95,0.22
2026-02-12 22:42:49.015,Active,Interactive,0.99,0.95,0.25
2026-02-12 22:42:49.048,Active,Interactive,0.989,0.95,0.29
2026-02-12 22:42:49.077,Active,Interactive,0.988,0.95,0.32
2026-02-12 22:42:49.107,Active,Interactive,0.988,0.95,0.35
2026-02-12 22:42:49.139,Active,Interactive,0.987,0.95,0.38
2026-02-12 22:42:49.170,Active,Interactive,0.986,0.95,0.41
2026-02-12 22:42:49.208,Active,Interactive,0.986,0.95,0.45
2026-02-12 22:42:49.232,Active,Interactive,0.985,0.95,0.47
2026-02-12 22:42:49.272,Active,Interactive,0.983,0.95,0.51
2026-02-12 22:42:49.296,Active,Interactive,0.982,0.95,0.53
2026-02-12 22:42:49.327,Active,Interactive,0.981,0.95,0.57
2026-02-12 22:42:49.358,Active,Interactive,0.98,0.95,0.6
2026-02-12 22:42:49.389,Active,Interactive,0.978,0.95,0.63
2026-02-12 22:42:49.447,Active,Interactive,0.977,0.95,0.69
2026-02-12 22:42:49.483,Active,Interactive,0.976,0.95,0.72
2026-02-12 22:42:49.513,Active,Interactive,0.974,0.95,0.75
2026-02-12 22:42:49.544,Active,Interactive,0.976,0.95,0.0
2026-02-12 22:42:49.577,Active,Interactive,0.979,0.95,0.0
2026-02-12 22:42:49.606,Active,Interactive,0.981,0.95,0.0
2026-02-12 22:42:49.639,Active,Interactive,0.983,0.95,0.0
2026-02-12 22:42:49.668,Active,Interactive,0.986,0.95,0.0
2026-02-12 22:42:49.700,Active,Interactive,0.988,0.95,0.02
2026-02-12 22:42:49.751,Active,Interactive,0.991,0.95,0.0
2026-02-12 22:42:49.778,Active,Interactive,0.994,0.95,0.0
2026-02-12 22:42:49.815,Active,Interactive,0.997,0.95,0.0
2026-02-12 22:42:49.840,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:49.868,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:49.900,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:49.930,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:49.962,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:49.992,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:50.026,Active,Interactive,1.0,0.95,0.02
2026-02-12 22:42:50.056,Active,Interactive,1.0,0.95,0.05
2026-02-12 22:42:50.086,Active,Interactive,1.0,0.95,0.08
2026-02-12 22:42:50.118,Active,Interactive,0.999,0.95,0.11
2026-02-12 22:42:50.165,Active,Interactive,0.999,0.95,0.16
2026-02-12 22:42:50.196,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:50.231,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:50.261,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:50.293,Active,Interactive,0.999,0.95,0.03
2026-02-12 22:42:50.319,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:50.352,Active,Interactive,0.999,0.95,0.01
2026-02-12 22:42:50.382,Active,Interactive,0.999,0.95,0.03
2026-02-12 22:42:50.411,Active,Interactive,0.999,0.95,0.06
2026-02-12 22:42:50.469,Active,Interactive,0.999,0.95,0.12
2026-02-12 22:42:50.504,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:50.534,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:50.568,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:50.599,Active,Interactive,0.999,0.95,0.01
2026-02-12 22:42:50.629,Active,Interactive,0.999,0.95,0.04
2026-02-12 22:42:50.660,Active,Interactive,0.999,0.95,0.07
2026-02-12 22:42:50.712,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:50.738,Active,Interactive,0.999,0.95,0.01
2026-02-12 22:42:50.774,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:50.801,Active,Interactive,1.0,0.95,0.03
2026-02-12 22:42:50.836,Active,Interactive,1.0,0.95,0.06
2026-02-12 22:42:50.865,Active,Interactive,1.0,0.95,0.09
2026-02-12 22:42:50.896,Active,Interactive,0.999,0.95,0.12
2026-02-12 22:42:50.927,Active,Interactive,0.999,0.95,0.15
2026-02-12 22:42:50.958,Active,Interactive,0.998,0.95,0.19
2026-02-12 22:42:51.014,Active,Interactive,0.997,0.95,0.24
2026-02-12 22:42:51.036,Active,Interactive,0.995,0.95,0.26
2026-02-12 22:42:51.081,Active,Interactive,0.994,0.95,0.31
2026-02-12 22:42:51.113,Active,Interactive,0.992,0.95,0.34
2026-02-12 22:42:51.144,Active,Interactive,0.991,0.95,0.37
2026-02-12 22:42:51.176,Active,Interactive,0.989,0.95,0.4
2026-02-12 22:42:51.208,Active,Interactive,0.987,0.95,0.44
2026-02-12 22:42:51.238,Active,Interactive,0.985,0.95,0.47
2026-02-12 22:42:51.269,Active,Interactive,0.984,0.95,0.5
2026-02-12 22:42:51.933,Active,Interactive,0.985,0.95,0.0
2026-02-12 22:42:51.958,Active,Interactive,0.986,0.95,0.0
2026-02-12 22:42:51.990,Active,Interactive,0.987,0.95,0.0
2026-02-12 22:42:52.020,Active,Interactive,0.989,0.95,0.0
2026-02-12 22:42:52.055,Active,Interactive,0.99,0.95,0.0
2026-02-12 22:42:52.083,Active,Interactive,0.992,0.95,0.0
2026-02-12 22:42:52.115,Active,Interactive,0.994,0.95,0.0
2026-02-12 22:42:52.146,Active,Interactive,0.996,0.95,0.0
2026-02-12 22:42:52.178,Active,Interactive,0.998,0.95,0.0
2026-02-12 22:42:52.210,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:52.239,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:52.277,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:52.301,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:52.342,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:52.363,Active,Interactive,1.0,0.95,0.01
2026-02-12 22:42:52.398,Active,Interactive,1.0,0.95,0.05
2026-02-12 22:42:52.425,Active,Interactive,1.0,0.95,0.07
2026-02-12 22:42:52.456,Active,Interactive,0.999,0.95,0.1
2026-02-12 22:42:52.487,Active,Interactive,0.999,0.95,0.13
2026-02-12 22:42:52.518,Active,Interactive,0.998,0.95,0.16
2026-02-12 22:42:52.587,Active,Interactive,0.997,0.95,0.23
2026-02-12 22:42:52.613,Active,Interactive,0.996,0.95,0.26
2026-02-12 22:42:52.645,Active,Interactive,0.994,0.95,0.29
2026-02-12 22:42:52.676,Active,Interactive,0.993,0.95,0.32
2026-02-12 22:42:52.706,Active,Interactive,0.991,0.95,0.35
2026-02-12 22:42:52.738,Active,Interactive,0.991,0.95,0.03
2026-02-12 22:42:52.769,Active,Interactive,0.991,0.95,0.03
2026-02-12 22:42:52.800,Active,Interactive,0.992,0.95,0.01
2026-02-12 22:42:52.831,Active,Interactive,0.992,0.95,0.04
2026-02-12 22:42:52.863,Active,Interactive,0.993,0.95,0.07
2026-02-12 22:42:52.895,Active,Interactive,0.994,0.95,0.1
2026-02-12 22:42:52.932,Active,Interactive,0.994,0.95,0.14
2026-02-12 22:42:52.959,Active,Interactive,0.995,0.95,0.17
2026-02-12 22:42:52.996,Active,Interactive,0.995,0.95,0.2
2026-02-12 22:42:53.019,Active,Interactive,0.996,0.95,0.23
2026-02-12 22:42:53.063,Active,Interactive,0.995,0.95,0.27
2026-02-12 22:42:53.098,Active,Interactive,0.993,0.95,0.31
2026-02-12 22:42:53.128,Active,Interactive,0.992,0.95,0.34
2026-02-12 22:42:53.160,Active,Interactive,0.99,0.95,0.37
2026-02-12 22:42:53.190,Active,Interactive,0.988,0.95,0.4
2026-02-12 22:42:53.221,Active,Interactive,0.987,0.95,0.43
2026-02-12 22:42:53.251,Active,Interactive,0.985,0.95,0.46
2026-02-12 22:42:53.300,Active,Interactive,0.984,0.95,0.51
2026-02-12 22:42:53.330,Active,Interactive,0.983,0.95,0.54
2026-02-12 22:42:53.367,Active,Interactive,0.981,0.95,0.58
2026-02-12 22:42:53.393,Active,Interactive,0.98,0.95,0.6
2026-02-12 22:42:53.423,Active,Interactive,0.981,0.95,0.0
2026-02-12 22:42:53.454,Active,Interactive,0.983,0.95,0.0
2026-02-12 22:42:53.486,Active,Interactive,0.985,0.95,0.01
2026-02-12 22:42:53.545,Active,Interactive,0.986,0.95,0.05
2026-02-12 22:42:53.565,Active,Interactive,0.988,0.95,0.07
2026-02-12 22:42:53.604,Active,Interactive,0.99,0.95,0.11
2026-02-12 22:42:53.626,Active,Interactive,0.991,0.95,0.13
2026-02-12 22:42:53.657,Active,Interactive,0.993,0.95,0.16
2026-02-12 22:42:53.689,Active,Interactive,0.995,0.95,0.19
2026-02-12 22:42:53.719,Active,Interactive,0.996,0.95,0.22
2026-02-12 22:42:53.783,Active,Interactive,0.995,0.95,0.28
2026-02-12 22:42:53.811,Active,Interactive,0.993,0.95,0.31
2026-02-12 22:42:53.847,Active,Interactive,0.992,0.95,0.35
2026-02-12 22:42:53.874,Active,Interactive,0.99,0.95,0.37
2026-02-12 22:42:53.908,Active,Interactive,0.988,0.95,0.41
2026-02-12 22:42:53.937,Active,Interactive,0.987,0.95,0.44
2026-02-12 22:42:53.968,Active,Interactive,0.985,0.95,0.47
2026-02-12 22:42:53.999,Active,Interactive,0.984,0.95,0.5
2026-02-12 22:42:54.029,Active,Interactive,0.982,0.95,0.53
2026-02-12 22:42:54.061,Active,Interactive,0.981,0.95,0.56
2026-02-12 22:42:54.091,Active,Interactive,0.98,0.95,0.59
2026-02-12 22:42:54.149,Active,Interactive,0.978,0.95,0.65
2026-02-12 22:42:54.170,Active,Interactive,0.977,0.95,0.67
2026-02-12 22:42:54.202,Active,Interactive,0.976,0.95,0.7
2026-02-12 22:42:54.232,Active,Interactive,0.975,0.95,0.73
